tay,vietnamese
"mí, pỉ lùa pây hái chà.","không, chị dâu đi hái rau thôi."
lục đếch đang háy le_ lục cần tầư?,đứa bé đang khóc là con ai?
phjác đoóng,trán giô
lục đếch đang nòn.,đứa bé đang ngủ.
tốc đú,ban đầu
phưa pà,bừa đôi
phạ lai đao đí pện nảy tọ đét đảy vỏ?,trời nhiều sao thế này mà nắng được sao?
đồng bào hất đảy lai nghé.,đồng bào làm được nhiều việc.
vài tại xe,trâu kéo xe
nhụt ngù,trườn như rắn
khẩu lam,cơm lam
phải nả lang,vải khổ rộng
bâư mòn,lá dâu
slâu me,cột cái
nòn ngai,nằm ngửa
viác căn tồng toản cắt soong,chia tay như khổ vải cắt đôi
cần tò bẳn tỉ hâu dế?,người ta bắn nhau ở đâu thế?
vai,mây
phjôm nhủng,tóc rối
thây cồn,cày đảo
khẩu màn,lúa có đòng
cày xo,thượng tuần
thư thây,cày
cần tầu tạy noọng nhình slon tắm phải?,ai dạy chị em dệt vải?
níp,giắt
slâu,cột
phải nhụt,vải giãn
"fầy tha khừn, lục khởi thót cằn.",thằng giặc pháp hung hăng đáng chết.
nhục nhằn,nhọc nhằn
nhụt,giãn
nhụt,dôi
nhụt,dâng
nhụp nhụp,ùn ùn
nhụp nhụp,bời bời
nhục nhằn,vất vả
nhục,vất vả
phải nhọm khún,vải nhuộm chàm
nhợ,nhỡ
nhống,hở
nhốc đin,đống đất
nhủ,quăn
nính nính,nhằng nhẵng
níp,gắp
khẩu fe,thóc giống
lồm pặt,gió thốc
níp chèn khảu tin slửa,giắt tiền vào gấu áo
lồng chả,gieo mạ
đếch nhó nhé slon phjải,trẻ chập chững tập đi
noài,hơi dốc
pây pựa nẩy pja dú khuổi lai.,đi mùa này bắt cá ở suối nhiều.
cầu bấu chấp đầy bản lè nỉ.,không sống nổi đành phải đi tứ tán.
ma bả,chó dại
chài an ái au me pi nả.,anh an sắp lấy vợ năm tới.
vò dài dạn thây phưa pền nạn.,đàn bà lười dệt vải người thừa
bâư slửa nhủ,áo nhàu
hoi,đuối
xum,hố
vò dài dạn thây phưa pền nạn.,đàn ông lười cả cày bừa như hươu
chài,anh
noang,doãng dài
no cầy,kì ghét
nhủ nhút,nhàu rối
mốc,bụng
slam,ba
đắp văn phầy toả bản đẳm thì.,tất khói lửa toả trời đen tối.
tôm đeng,đất đỏ
khẩu chăm,gạo tẻ
khẩu chăm,lúa tẻ
tốc nưa,lệch về phía trên
nòn,ngủ
chứ,nhớ
phjôm khao,tóc bạc
khẩu dên,cơm nguội
đắp sliểu,tháng thiếu
khẩu chẳm cưa,cơm chấm muối
cần tầư phuối hử noọng chắc?,người nào nói cho em biết?
cần tầư hử mầư xéc?,ai cho mày sách?
khẩu coóc,thóc
cần tầư,người nào
nhụt,trườn
nhụt nhoạt,dư dật
"phạ lai đao dí pện nẩy, vằn pjục xẹ đét lai.","trời nhiều sao thế này, ngày mai sẽ nắng lắm."
nhụt nhoạt,rã rời
"pây khai mu eng pây, au chèn mà dự da.","đi bán lợn con đi, lấy tiền mua thuốc."
pết oóc xáy,vịt đẻ trứng
lục cốc,con cả
au khêm mây nỉu khảu,lấy kim chỉ níu lại
cặn nảy mầư nắm pây slon nghề lỏ?,thế mày không đi học nghề à?
ốt,nút
pết,vịt
vài ơi mầư lăng bấu kin nhả?,trâu ơi làm sao mày không ăn cỏ
vài ơi mầư lăng bấu kin nhả?,trâu ơi làm sao mày không ăn cỏ?
au làng,lấy giống
khên lền,chăng dây
"vài ơi, mầư lăng bấu kin khẩu?","trâu ơi, sao mày không ăn thóc?"
pja bú,cá bống
lục xo,con nuôi
au mà nảy câu ngòi hử,lấy về đây anh xem cho
"mí, pỉ lùa pây thây nà né","không, chị dâu đi cày thôi"
mác nẻng,sa nhân
páng cúm,bắp đùi
hò tỉ nhúm nhước khua,thằng ấy cười ruồi
tái cẳn khau oóc pjọt lùng loàng.,dẫn người dao thoát khỏi mịt mù.
lục slao tày chắc tắm phải đây lai.,con gái tày biết dệt vải đẹp lắm.
"ờ hờ lục nòn, nòn đắc nòn đi.","à ơi con ngủ, ngủ say đi."
chỉa,giấy
khăm nẩy khỏi nòn đắc lai.,đêm nay tôi ngủ say lắm.
khăm nẩy mí nòn đảy,đêm nay không ngủ được
sloong cần nhúm nhước khua,hai người cười đưa tình
tha toòng bặng tha cạu,mắt sáng như mắt cú mèo
chài pây au phừn dú đông.,anh lấy củi ở rừng.
pết eng chin nhóa nhóa,vịt con ăn rào rào
lục báo,con trai
lục đếch kin ngài xong xằng?,đứa bé ăn cơm xong chưa?
lục đếch kin xong dá.,đứa bé ăn xong rồi.
cẳn phja bjoóc cằn búng pé ngần.,người ba bể người dân phja bjoóc.
"lục à, slọi ăn thêm nảy hưa pả đảy vỏ?",cháu ơi xâu cái kim này giúp bà được chứ?
lục đang nhắng lai mé.,con đang bận lắm mẹ.
lục đang nhắng lai mé.,con đang bận mà mẹ
nhọi nhọi,đến nơi
"khẩu bươn sloong, mạy mác khửn kheo lai.","vào tháng 2, cây cối xanh tốt lắm."
ní,ấy
nín,sữa
nhọm,nhuộm
báo léo,nam thiếu niên
đẳn,ngứa
nhỏ,sun lại
nhọt,ngọn
nín,vú
nhốc,đống
nhống,chìa
nhủ,nhàu
nhủ,chùn
nhụt nhụt,tuồn tuột
nhọm slửa,nhuộm áo
nhọt,đỉnh
nung hài,đi giày
nèm me nính nính,theo mẹ nhằng nhẵng
sloong,hai
sliến toòng,dây đồng
chỉa khao,giấy trắng
thú,đũa
tha vằn,mặt trời
lừa cuổi,buồng chuối
cầư pây thị xạ đuổi noọng dế?,ai đi thị xã với em thế?
nhọt mạy,ngọn cây
đếch chin nín,trẻ bú sữa
nhỏ,rụt
nhỏ,bẹp xuống
nhọt vai pjai khuổi,đầu núi ngọn suối
nhọt pù,đỉnh núi
da lùa,mẹ chồng nàng dâu
vằn lương,ngày kìa
nhúm,nhóm
hoi,tàn
chử dá,đúng rồi
ma nhát,chó xồm
nòn đắc,ngủ say
hò lục cóc náo đầy slíp lam.,thằng con cả mới được mười ba.
nó,chồi
nó,mầm
nó,ánh
nó khá,mầm cây giềng
sai gò bặng mây sơ luộn đướn.,lòng bận như cuốn tơlạc mối
tàng tập éo,đường gấp khúc
cần tày dú bản khỏi slổng ngai.,người tày ở làng tôi sống dễ dàng.
mươi tốc lồng dàn như phải ban,sương rơi xuống sàn như bông nở
xu túp,tai cụp
túc vuồn như nộc pâylạc ngản,trúc buồn như thể conchim lạc ngàn
pây tầư mà đăm pện nảy,đi đâu mà tối thế này
cần slồng tàng dú bản.,người dẫn đường ở làng.
bâư slửa nẩy đây lai á.,cái áo này đẹp lắm đấy.
phjôm nhủng nhat,tóc rối bù
khẩu mẩy,cơm cháy
tăm,đấm
nhằng xuân mèng nhằng cáp nhằng kiu,còn xuân ong còn say mật chưa về
slí,bốn
ma thấu,chó săn
tha lài,hoa mắt
heng,âm thanh
"nhằng sloong vằn le_ thâng dá, nắm chắc te mừa kịp bấu?","còn hai ngày nữa là đến rồi, không biết nó về kịp không?"
lốc,nhổ
hen vài,chăn trâu
chử á,đúng thế
chắng giú hợp dân tình pặn này.,dân ta sắp tới ngày độc lập.
năng,da
heng,tiếng
"cần ti_ quây mà, ngòi quá bại cúa du_ng vạ công fiệc le_ hăn đặc trưng văn hoá dân tộc, tằng trình độ hết kin cúa cần tày","người ở nơi xa đến, nhìn qua những đồ vật và công việc thì thấy được đặc trưng văn hóa dân tộc, cũng như trình độ làm ăn của người tày."
pác,miệng
cần slồng tàng,người dẫn đường
"đảy dá, mừa khoái khoái nớ","được rồi, về nhanh nhé"
bó hích,mỏ thiếc
mác lì,quả lê
pá kin ngày đuổi cần bản.,bá ăn cơm với người làng.
cần pây tàng rèo căn pền nhúm,người đi đường theo tốp
"nhằng bại nghề thủ công tẻo hết ooc bại cúa thư sle hết fiệc pện cạ: pjạ, liềm, sliêm, bai, lủa...","còn các nghề thủ công thì làm ra các dụng cụ để làm việc như: cuốc, liềm, dao, búa, xẻng..."
"đảy chin nhoòng mô mả, thong thả nhoòng ti rườn",nhàn nhã nhờ thổ cư
"đảy chin nhoòng mô mả, thong thả nhoòng ti rườn",có ăn do mồ mả
bó nặm dú chang bản.,giếng nước ở trong làng.
kho,cong
hin cáy,đá bia mộ
tăm khẩu,giã gạo
hăn chài mà mốc slẩy nhoa phông,lòng ran vui
slíp,mười
hi,âm hộ
pá mé cạ noọng hết khẩu lam.,bố mẹ dặn em nấu cơm lam.
khẩu thâng rườn tắm phải hăn vải đây lai.,vào nhà dệt vải thấy vải đẹp lắm.
tàng luông nẩy mì lai cần pây.,đường lớn này có nhiều người đi.
thân túc là gần khéc viện phương,thân trúc là khách viễn phương
hin fong,nhũ đá
năng nựa,da thịt
hin fầy,đá lửa
"vẩy, hăn cạ po_ cá mầng ái slưởng hẩư mầng pây slon hết slấy da them lá.","vậy, nghe nói bố cậu muốn cho cậu đi học làm bác sĩ cơ mà."
"vang rườn quảng, xuyên noang lai",gian nhà rộng xà doãng dài
slíp nhi,mười hai
đảm,đũa cả
lọm sluôn,rào vườn
pày đú,lần đầu
đướt,nóng
nhúm,tốp
tàng lính noài,đường dốc thoai thoải
"pày ngồi vài, tiệ eng, hết khởi.","đi chăn trâu, cõng trẻ làm thuê."
chung,dắt
phấn thai đắc bấu mì cần toọn.,người đói là chết thảm bên đường.
hin phon,đá vôi
nhằng xuân rà hạy chơi xuân sắc,còn xuân ta hãy chơi hoa vội gì
kho ngống bặng éc,cong như vai cày
slương,thương
heng,giọng
hinh,hỏi
mác khấy nhương,khổ qua nhồi
hiêng,hơ
nước mát lè rườn tan.,nước mát thì nhà tan.
nhả,cỏ
hiến,hiền lành
"slíp ất giờ dá, mầư nhằng mừa rườn lỏ?","mười một giờ rồi, mày chưa về nhà hả?"
nhược cạ,ví như
nhược,giá
nhược cạ,nếu như
hoa mì,chim họa mi
khay,mở
hoa nèo,cây nêu
nhăm ngàu,đứng bóng
mạm,lá lách
hinh,con đom đóm
khen kha nàng vạ dắm pền khuẩy.,bộ râu dài vừa trắng vừa đen.
cần mà chồm hội nhụp nhụp,người đến xem hội bời bời
hò hâư tố quai,đứa nào cũng khôn
nhược cạ bấu au căn tố bấu lừm,dù không lấy được vẫn không quên
nhược cạ bấu chập căn le hết rừ,nếu không gặp nhau thì làm sao
đăng bỉ,ngạt mũi
nhược pây bản hạu teo pàn khoang,nếu đi bản hạu trèo ngang núi
nước slườn oóc slúng xiên thù.,đất trời sẽ lên ánh mặt trời.
phấn thai đắc bấu mì cần toọn. phấn tài cần pay păn kin xo.,người đói là chết thảm bên đường. kẻ li hương bỏ vơ hành khất.
nhả cà,cỏ gianh
búng slung,vùng cao
"slíp ất giờ dá, mầư nhằng dú rườn.","11 giờ rồi, mày vẫn còn ở nhà."
hin pí,cột mốc
hin pí,cột tiêu
hin slảng,đá kê cột nhà
hin slảng,đá tảng
hin slẩu,đầu rau
vằn fầy,khói lửa
khẻo nhống,răng chìa ra
hoa mác co đang nở.,hoa hạt dẻ đang nở.
mạc thây,cái cày
lan hen vài lỏ?,cháu chăn trâu à?
slíu,đục
mốc nhoa bá,trong lòng thảng thốt
khẻo,răng
thân noọng như xính xao chang rẩu,em như thân nhện ẩn cùng chỗ quen.
khay tu,mở cửa
hăn cạ te men da dày.,nghe nói anh ta bị bệnh dạ dày.
nhương,nhường
đăm nà,cấy lúa
đăng,mũi
me a,bà cô
pjá,trả
lan hằng ca nảy hết nà.,cháu hằng dạo này làm ruộng.
đảy slam pi dá,được 3 năm rồi
nhương,nhân nhượng
nhương,nhồi
khẻo nhống,răng hở
"cần ké cạ hết nà khỏ lai, ái slưởng pện ca lại, tọ lầu lao tố bấu tả nà râ_y đảy náu.","người già nói làm ruộng vất vả lắm, cũng muốn như thế, nhưng bọn tớ sợ không có ruộng nương."
nhúm nhước,đưa tình
nhúm nhước,cười ruồi
bươn nhi,tháng hai
nhúm nhúm,tủm tỉm
nhúm khua,mỉm cười
nhúm au ỉ nâng,nhúm lấy một chút
thân noọng như phiắc piêu nả nặm,thân em như rau piêu mặt nước
nước việt nam boong hây mì kỉ lai dân tộc slinh sổng chầu mì.,nước việt nam chúng ta có bao nhiêu dân tộc sinh sống phong phú.
bươn lạp,tháng chạp
đăm nhọi nhọi,tối đến nơi
nhược cạ,dù cho
nhược,ê chề
nhược,nếu
nhược,mỏi mệt
xâng,cái sàng
khiêng,thớt
hăn chài mà mốc slẩy nhoa phông,thấy anh về
hin,đá
nhó nhé,tấp tểnh
"bại cần cạ mầư ái au me, le cần tầu dế?","mọi người nói mày sắp lấy vợ, là ai vậy?"
đúc slẻ,xương sườn
nhó,nhô
đúc đang nhụt nhoạt,thân thể rã rời
nhó,chồi ra
nhòi cần tò đá,xui người ta chửi nhau
nhòi,xúi giục
nhòi,xui
nhòi,khuyến khích
cần khổ lè toón chin tổn chắn. cầu bấu chấp đầy bản lè nỉ.,dân nghèo vẫn phải lo từng bữa. không sống nổi đành phải đi tứ tán.
bại mạy mác dú đông nẩy đây lai.,các cây cối trên rừng này đẹp lắm.
bại mầu pây đông lai chả.,bọn mày đi đông thế chứ.
nhòi đếch pin mạy,khuyến khích trẻ trèo cây
nhói nhói,roi rói
bại cáy mo cúa boong hây liệng lai.,các gia súc của chúng ta nuôi nhiều.
nhó nhé pây liêu,tấp tểnh đi chơi
nhóa nhóa,rào rào
đây khua,buồn cười
nhoòng lăng lan xằng hử bảc kin lẩu,vì sao cháu vẫn chưa cho bác ăn cưới
nhoòng lăng lan xằng hử bảc kin khẩu lam?,vì sao cháu vẫn chưa cho bác ăn cơm lam?
híu,lanh lợi
nhoòng hết fiệc khỏ lai.,vì làm việc vất vả lắm.
me vài đăm nẩy dự kỉ lai chèn?,con trâu cái đen này giá bao nhiêu tiền?
nhoòng chấp lai,vì đau quá
nhoòng,vì
vằn lừ,ngày kia
nhoòng,tại
nhoòng,do
nhoòng,bởi
đây slao,xinh gái
nhúm,nhúm
rằng xao,mạng nhện
nhót,chột
nhót,sút
nhúm,mỉm
hò chin chan,thằng ăn gian
đúc,xương
bảc hồ phuối lăng dú chang thư phác đại hội dân tộc nọi cần?,bác hồ nói gì trong thư gửi đại hội các dân tộc ít người?
xu nuốc,tai điếc
bảc hồ phác thư hử đại hội bại dân tộc nọi cần khảu pi bươn lăng?,bác hồ gửi thư tới đại hội các dân tộc ít người vào tháng năm nào?
mốc pè,đầy bụng
slưa bắc,hổ vồ
tốc,rơi
hoi,ốc
mạt mừ,găng tay
"pí bố tán ái mì ăn tây phải thổ cẩm bặng noọng, nhằng ái chắc cốc co hết rừ chắng đảy pền piếng phải đây mjạc pện them.",chị không những muốn có cái tíu thổ cẩm như của em mà còn muốn biết cặn kẽ làm thế nào mới có được tấm vải đẹp như thế này nữa.
bảc ngòi hử lan ăn thông nảy nớ?,bác trông giúp cháu cái túi này nhé?
mạy buốt nó,cây mọc chồi
me nhình khỏi hết nà.,vợ tôi làm ruộng.
bảc phuối pện nảy mà tỉnh đảy lai a?,bác nói thế này mà nghe được nhiều à?
"bại nghề thủ công truyền thống đảy chướng truyền tứ tơ_i pú-po_ tố chăn mì lai, pện cạ: tắm phải, cọn lếch, slan sloóc, toỏng mạy, hết ngoạ v.v...","các nghề thủ công truyền thống được lưu truyền từ đời ông cha cũng có rất nhiều, như: dệt vải, rèn, đan lát, đóng gỗ, làm ngói, v.v..."
"bại mẻ nhình, lủc nhình mẻn cần rại pjàng au pây khai hử nước noọc lèo chậư chọ bại cần, lăng bấu khôm phết lỏ?","phận đàn bà con gái bị lừa gạt đem bán ra nước ngoài, phải hầu hạ mọi người, sao mà không khổ chứ?"
nhúc nhúc,nhùng nhằng
nhù pắt,cái chổi
nhúc nhúc,nhung nhúc
nhùng,nộc dùng
nhùng,muỗi vằn
phấn tài cần pay păn kin xo.,kẻ li hương bỏ vơ hành khất.
